Date,Actual_AQI,P10,P50,P90
2019-06-12,189.0,215.24325136135135,260.25332899203374,385.0324964594656
2019-06-13,167.0,177.0940661287989,219.7591867212603,321.15547360700725
2019-06-14,217.0,171.48294797424572,198.25784660546367,241.77984346791538
2019-06-15,205.0,154.52264760838165,161.31832671853238,224.57469156129454
2019-06-16,126.0,183.78924445750516,221.902710906299,273.95642948270535
2019-06-17,119.0,161.49849412483843,209.69623850732674,234.44045705703232
2019-06-18,173.0,119.94905007738203,150.70804133465165,218.04586649205407
2019-06-19,175.0,112.60684985843609,131.06360962753507,169.33304906323752
2019-06-20,178.0,172.38524586205037,206.4836691574502,270.69623457723833
2019-06-21,185.0,145.7594746442022,184.9420975712073,250.23731646208103
2019-06-22,153.0,168.51382468622623,207.10197194874013,235.6220412723896
2019-06-23,118.0,169.84192320011235,216.36960438900982,223.61318282247979
2019-06-24,131.0,122.5263121095468,184.383925849979,255.50691849834146
2019-06-25,161.0,108.35413054109405,142.0183971159201,175.60193397036588
2019-06-26,169.0,137.25988902490425,178.75470787048337,237.56212102393013
2019-06-27,207.0,160.74591363164768,205.50956473757012,258.6241034981968
2019-06-28,223.0,159.59343796979775,207.11928135803453,283.1652303342459
2019-06-29,234.0,171.2297056879811,224.74128900026417,282.6827172696356
2019-06-30,195.0,163.9628361457831,231.16606195967034,276.99991924305687
2019-07-01,202.0,150.5326341638047,191.01216099240642,264.73245538125445
2019-07-02,162.0,147.14896924639652,175.92750885054525,260.3415644547783
2019-07-03,111.0,158.86532110281019,223.77313127428553,317.49101504673456
2019-07-04,113.0,119.62161555574602,178.79394519688054,245.43555212849745
2019-07-05,99.0,100.38820290406613,123.11863969142885,160.9850090288988
2019-07-06,101.0,108.1900656364433,137.3358012678436,208.66037405073908
2019-07-07,129.0,105.84587699652856,129.71328006312444,165.1710463253995
2019-07-08,131.0,100.55836290860204,114.81343569571852,148.2501070319524
2019-07-09,150.0,109.12519359888825,142.9552156406781,203.8114710241106
2019-07-10,300.0,110.28859984472768,138.57445871446453,185.80339474001772
2019-07-11,294.0,102.23136734000488,139.9806050576128,228.2752062460041
2019-07-12,312.0,119.20515769557863,171.58173923056083,308.3563778117682
2019-07-13,243.0,156.2143307721536,213.62771772759956,326.44251744414527
2019-07-14,180.0,157.90057372634283,220.1056847733841,312.35583098203625
2019-07-15,117.0,181.22434888802294,221.77097723211966,293.6493265359433
2019-07-16,92.0,165.26678512809428,178.33978297038524,245.03037790530982
2019-07-17,98.0,118.11487566008013,141.39344724571652,168.0101026518875
2019-07-18,142.0,106.1119530370729,139.62791793256048,176.3270987518702
2019-07-19,137.0,104.4886650941793,135.45143208161846,191.6553354512376
2019-07-20,123.0,148.42446110000498,202.65756196472304,232.92131303882334
2019-07-21,124.0,101.43614228893439,149.0476171377151,220.20461157099922
2019-07-22,156.0,114.49508806131082,150.2681817299514,208.65959884413684
2019-07-23,165.0,106.44024243794634,124.40812160264824,175.8140623469764
2019-07-24,98.0,119.63571837207444,154.4334478594024,191.1023430673403
2019-07-25,94.0,123.05475764188604,150.7070973262332,218.66045915497577
2019-07-26,85.0,95.84892240622912,112.67237429021132,146.19269313803872
2019-07-27,83.0,83.25015731816049,97.02575247918,134.22996643366412
2019-07-28,82.0,72.27172015154605,97.80441600977892,111.31211524622877
2019-07-29,90.0,72.3329371446873,96.49068474987975,112.50774727967547
2019-07-30,90.0,83.53601462080371,106.5960829269048,130.91872908088342
2019-07-31,98.0,79.83908054578903,105.43603438617747,133.26225818643036
2019-08-01,95.0,79.22010174519268,97.04598829472575,124.00452642791794
2019-08-02,104.0,85.31664802676305,97.43087550124754,121.93120533084429
2019-08-03,101.0,79.74532534080716,95.68417716575806,123.6100522501234
2019-08-04,108.0,88.95697993552864,103.03784762714152,123.65301712875522
2019-08-05,99.0,103.31920748074643,106.89861171841416,135.39908039360267
2019-08-06,104.0,103.88929584767843,123.84089247051321,168.83326358353662
2019-08-07,99.0,92.54651409036747,115.92511069625654,128.0671952042624
2019-08-08,89.0,99.5840470296503,103.4232626685754,141.13279125232845
2019-08-09,75.0,86.72033653041404,96.77805268397074,115.48056736929297
2019-08-10,83.0,70.29615581262959,90.77313910313455,108.33879326648831
2019-08-11,80.0,66.9998374335286,90.78650777512571,108.16798394765146
2019-08-12,85.0,80.03613016677068,99.90571182551243,124.40296939803055
2019-08-13,93.0,81.29369410935574,98.87785288309048,123.2337923043762
2019-08-14,93.0,78.6867491310364,96.69546846963009,121.96632097714266
2019-08-15,73.0,85.44459141693325,97.01753468407273,123.70440727147259
2019-08-16,67.0,84.009302798975,103.34559684764795,119.55300399392249
2019-08-17,66.0,68.72776871536979,97.80135443415809,110.64673524546286
2019-08-18,99.0,68.8928483555365,97.09931772989006,113.07241036738827
2019-08-19,103.0,77.90974468188476,105.37253319029627,124.93245453414683
2019-08-20,107.0,103.86326884300121,117.5072775665077,165.9520297826029
2019-08-21,125.0,107.29061935898056,113.4508816213262,164.76082301463558
2019-08-22,130.0,95.45541535950366,116.49491199040857,173.8472301502029
2019-08-23,149.0,112.39970891622764,154.9147265784284,185.08519217370167
2019-08-24,107.0,112.94120845752484,155.18240284804412,184.89246755799527
2019-08-25,77.0,122.52706647393153,180.4370180539049,199.62195714111363
2019-08-26,114.0,101.76163347768272,105.49422519804058,119.8561263602952
2019-08-27,119.0,84.43180264437966,98.3880345000875,117.88720649678534
2019-08-28,103.0,101.37658694121299,128.73193225875784,165.26909332967753
2019-08-29,110.0,110.93820611506861,125.2370865782853,156.39475846831564
2019-08-30,123.0,86.94944465490812,91.16062642348902,110.36857328259335
2019-08-31,123.0,89.53099822100462,102.6065218488195,160.52973235668634
2019-09-01,105.0,111.23368934488994,142.54092873095303,163.20701659646116
2019-09-02,131.0,105.77477237805077,126.76132009172254,125.24012974480335
2019-09-03,165.0,99.46987200396141,124.99265445673852,164.73631237375622
2019-09-04,118.0,107.62308793688132,125.87740495951428,162.9609090957928
2019-09-05,96.0,116.91909472807244,137.8591344684403,184.46833412682756
2019-09-06,95.0,87.9081560400636,106.46368219372006,118.33004266669562
2019-09-07,99.0,85.56261165561376,101.22075495597902,119.57742261290804
2019-09-08,107.0,80.68537846462539,92.42811799673115,118.79032718813077
2019-09-09,139.0,98.1000487195102,108.84222038186063,124.60876536979934
2019-09-10,166.0,95.07256761650139,116.0811302944095,162.54983198364323
2019-09-11,158.0,111.05726968928302,166.01706502092452,220.0112727337894
2019-09-12,103.0,104.3437932818822,143.18386275216687,176.39225260026492
2019-09-13,85.0,101.95286515772638,154.87763952191116,169.32163102997754
2019-09-14,83.0,92.73869914319035,104.26998348646042,113.45001898562158
2019-09-15,111.0,76.15852473897273,89.99386019527734,116.48242133547262
2019-09-16,143.0,83.47956409446353,100.53477675939014,128.16225911206055
2019-09-17,117.0,97.55668027855731,120.8156345722734,169.5607928964784
2019-09-18,80.0,110.39291523418403,174.62418022617067,214.6909195068461
2019-09-19,96.0,99.07872171730675,118.91758377523857,145.33739895584287
2019-09-20,112.0,75.19367220747733,97.63494970134163,108.66518573166312
2019-09-21,86.0,95.0869367881289,130.9497376344631,161.75665523796704
2019-09-22,89.0,90.10281942737205,113.86353834416013,132.35799974724117
2019-09-23,103.0,81.46619350505277,96.15139148020013,122.63063042810286
2019-09-24,100.0,83.97990151725165,100.54592533736304,137.5178128253171
2019-09-25,87.0,94.15123312138167,127.64850515421212,139.88398682888098
2019-09-26,78.0,92.25478842291221,105.35742345986101,117.25033862458359
2019-09-27,78.0,74.01395527159835,93.7194211406591,110.95032902285975
2019-09-28,68.0,69.8126616451255,90.34983672947641,106.62394003911577
2019-09-29,75.0,72.58784437881367,88.52818202337276,112.80134766979374
2019-09-30,98.0,74.87943730496835,91.21342992897821,113.96040701173055
2019-10-01,105.0,81.74971500024934,96.71695026547668,129.3080998649582
2019-10-02,140.0,100.07639098258569,114.18851767605427,137.33625732113563
2019-10-03,113.0,112.80338343075523,117.83212771020568,144.68284070173033
2019-10-04,108.0,129.5549094790267,158.8219146943323,192.0746592780448
2019-10-05,127.0,100.35611316011521,122.37557493556545,144.23036411027175
2019-10-06,133.0,102.78518748018853,133.14070860619321,166.52351417642808
2019-10-07,123.0,129.6976337646393,138.59627714351913,168.04076392557673
2019-10-08,165.0,124.59924843977791,140.55351714790493,169.67579453466172
2019-10-09,208.0,120.90780913110689,138.18941180867546,153.1223951075653
2019-10-10,243.0,145.055362014936,195.1567779864265,262.3976766960863
2019-10-11,235.0,154.86786629737247,202.3258239969861,249.67472316391246
2019-10-12,282.0,200.78628237395387,220.53261363190043,252.62888124125016
2019-10-13,285.0,211.7272107194857,255.55531921343672,261.0635437175227
2019-10-14,291.0,203.93479115075638,252.62882358923727,309.1818948002599
2019-10-15,320.0,221.0444847773036,255.3695014310488,303.6966090876167
2019-10-16,300.0,257.7889440470568,325.4885937092175,372.1684693812619
2019-10-17,265.0,277.8834272663443,293.45141895356466,364.57202937061226
2019-10-18,170.0,254.6596519386564,289.2694850879745,356.3602080396071
2019-10-19,242.0,234.2453452500109,264.8439068225999,331.0077204533137
2019-10-20,254.0,214.05324368028542,255.3850468722222,305.070366236606
2019-10-21,243.0,258.4519541373533,305.09268491579496,340.086953726722
2019-10-22,248.0,279.16318207342056,325.7439131272529,371.6178097786931
2019-10-23,335.0,240.8209341537491,280.5911432677091,344.8279315771842
