Model,MAE,RMSE,R2
Random Forest,44.41335092475183,61.07113197466914,0.7200641386293903
LightGBM,43.85193599845983,59.88760955648861,0.7308089883640553
Gradient Boosting,44.68293522282043,62.244080413714144,0.7092078301607698
Ensemble Average,43.651090952968076,60.11138883858313,0.7287934823645932
