City,mean_AQI,mean_PM25,mean_PM10,winter_AQI,monsoon_AQI,Cluster,PC1,PC2
Ahmedabad,452.12293853073464,67.85449674149167,114.58402948402947,591.8714652956298,351.59528907922913,1,5.625505948202621,-3.5575270727075896
Amaravati,95.29964328180738,37.773217488789236,76.3620200892857,136.8136645962733,65.26126126126127,0,-1.3371138654652404,-0.1484630067197619
Amritsar,119.92095914742451,55.46833485818847,115.2025993091537,152.19596541786743,97.96164383561644,0,-0.280766414613674,0.2797308855464694
Bengaluru,94.31832460732984,35.81982823403113,83.2432868405094,104.41196013289037,81.0256,0,-1.3393519115316574,-0.1888215918268787
Bhopal,132.8273381294964,50.05957142857143,119.32432142857142,170.45454545454547,72.25,0,-0.3585346736330873,0.39554780278163226
Brajrajnagar,150.2805049088359,64.05760956175298,124.2173725490196,189.4578313253012,95.52551020408163,0,0.2545474225855189,0.4214790534616347
Chandigarh,96.49832775919732,41.13024221453287,85.65654605263158,124.02479338842976,74.82142857142857,0,-1.1842418233581147,-0.038361541869473964
Chennai,114.50265392781316,50.42561310782241,62.834403973509936,119.47594501718213,109.92455858747994,0,-0.8929851112505159,-0.5325306893143152
Coimbatore,73.02325581395348,29.1515873015873,37.982137203166225,75.46153846153847,67.02307692307693,0,-2.183130131575049,-0.6559083797111797
Delhi,259.48774387193595,117.19615346287992,232.8092287784679,356.5249621785174,159.10776545166402,1,3.838725376768477,1.6234770832141476
Ernakulam,92.359477124183,24.944746835443038,48.3356329113924,104.08333333333333,104.07142857142857,0,-1.6529415564949759,-1.043514325870921
Gurugram,225.12388162422573,117.10400655737703,191.50443243243242,303.169133192389,154.07522123893804,1,3.0117389336140787,1.3278658865201316
Guwahati,140.11111111111111,63.68542914171657,116.60490039840639,236.17424242424244,68.94039735099338,0,0.13036472371220595,0.524221614220421
Hyderabad,109.20744680851064,47.0353569539926,91.93153240460326,130.1098169717138,85.5170731707317,0,-0.8592335143426606,0.003694947543060167
Jaipur,133.67915904936015,54.50070780399274,123.48350909090908,160.5512465373961,103.14794520547945,0,-0.06858179668209358,0.2629504627074978
Jorapokhar,159.25162127107652,64.22891820580475,149.65794183445192,217.72953736654804,106.52132701421802,0,0.7292984733643444,0.5818525074195494
Kochi,104.28481012658227,31.42851851851852,67.33543209876544,129.3684210526316,94.12903225806451,0,-1.2816608169457915,-0.664441049698181
Kolkata,140.56631299734747,64.3628326745718,115.62949934123846,260.2282157676349,61.45,0,0.18416037720043232,0.5558232627032964
Mumbai,105.35225806451614,35.198392857142856,96.74505897771952,159.0506329113924,69.42647058823529,0,-1.0166538624441455,-0.037358950411795065
Patna,240.7820424948595,123.49856213402734,126.74795811518325,357.9008849557522,117.2686170212766,1,2.6202590692001086,0.8132674173755052
Shillong,53.795121951219514,30.8239837398374,42.19917012448133,75.51851851851852,36.45,0,-2.4577972575312255,-0.22815604065332487
Talcher,172.88681948424068,61.405425101214576,165.77270777479893,276.01271186440675,96.99492385786802,0,1.0865647588572542,0.6931850251513609
Thiruvananthapuram,75.87832699619771,28.036616822429906,52.86365921787709,99.42696629213484,56.69467787114846,0,-2.0278231968774163,-0.4353133438792476
Visakhapatnam,117.26985482493595,46.96961038961039,105.95135399673735,150.810989010989,94.20489296636086,0,-0.5403491507593967,0.04730004401796261
